,Seller Name,Seller type,BHK,Location,City,Total Price,price per sqft,Area_sqft,Construction status
0,Eco Green Builders,BUILDER,3 BHK Apartment,Gundlapochampally,Hyderabad, 65.98 L,"4,200 ",1571 ,Under Construction
1,Elemental Realty,BUILDER,4 BHK Villa,Patancheru,Hyderabad, 1.48 Cr,"7,700 ",1930 ,Under Construction
2,Riddhi Group,BUILDER,4 BHK Villa,Tukkuguda,Hyderabad, 2.99 Cr,"7,200 ",4157 ,Under Construction
3,APR Group,BUILDER,4 BHK Villa,Bachupally,Hyderabad, 4.08 Cr,"12,000 ",3400 ,Under Construction
4,Grenstone Infra,BUILDER,4 BHK Villa,Maheshwaram,Hyderabad, 1.4 Cr,"5,200 ",2701 ,Under Construction
5,Mahaveer Group,BUILDER,4 BHK Apartment,Attapur,Hyderabad, 3.52 Cr,"7,500 ",4706 ,Under Construction
6,Hallmark Builders,BUILDER,4 BHK Apartment,Gandipet,Hyderabad, 4.31 Cr,"8,499 ",5080 ,Under Construction
7,Beyond Nature,BUILDER,Residential Plot,Sadashivpet,Hyderabad, 63 L,"2,000 ",3150 ,New
8,Beams And Columns Builders Private Limited,BUILDER,2 BHK Apartment,Kompally,Hyderabad, 73.34 L,"5,599 ",1310 ,Under Construction
9,Vajram Constructions,BUILDER,3 BHK Apartment,Gopanpally,Hyderabad, 1.65 Cr,"6,499 ",2550 ,Under Construction
10,Ira Reality,BUILDER,4 BHK Villa,Mamidipally,Hyderabad, 7.35 Cr,"12,000 ",6125 ,Under Construction
11,Vasavi Group,BUILDER,3 BHK Apartment,Jeedimetla,Hyderabad, 1.08 Cr,"5,500 ",1965 ,Under Construction
12,GHR Infra,BUILDER,3 BHK Apartment,Kollur,Hyderabad, 94.94 L,"5,349 ",1775 ,Under Construction
13,Aavasa Constructions,BUILDER,2 BHK Apartment,Saroor Nagar,Hyderabad, 85.15 L,"6,500 ",1310 ,Under Construction
14,Risinia Builders,BUILDER,2 BHK Apartment,Pragathi Nagar Kukatpally,Hyderabad, 68.21 L,"5,199 ",1312 ,Under Construction
15,ASBL,BUILDER,2 BHK Apartment,Pocharam,Hyderabad, 56.85 L,"4,699 ",1210 ,Under Construction
16,Om Sree Builders And Developers,BUILDER,3 BHK Apartment,Sainikpuri,Hyderabad, 1.34 Cr,"6,100 ",2200 ,Under Construction
17,SVC Constructions,BUILDER,3 BHK Apartment,Jeedimetla,Hyderabad, 1.02 Cr,"5,400 ",1902 ,Under Construction
18,Makuta Developers,BUILDER,3 BHK Apartment,Bachupally,Hyderabad, 1 Cr,"5,990 ",1670 ,Under Construction
19,Provident Housing Limited,BUILDER,3 BHK Apartment,Rajendra Nagar,Hyderabad, 80 L,"7,641 ",1047 ,Ready to move
20,GSR Group,BUILDER,4 BHK Independent House,Kollur,Hyderabad, 4.09 Cr,"6,500 ",6300 ,Under Construction
21,Sumadhura Infracon Pvt Ltd,BUILDER,2 BHK Apartment,Shamshabad,Hyderabad, 78.01 L,"6,071 ",1285 ,Under Construction
22,G square Housing,BUILDER,Residential Plot,Choutuppal,Hyderabad, 48.99 L,"2,039 ",2403 ,New
23,Eco Green Builders,BUILDER,3 BHK Apartment,Gundlapochampally,Hyderabad, 57.87 L,"4,200 ",1378 ,Under Construction
24,Elemental Realty,BUILDER,4 BHK Villa,Patancheru,Hyderabad, 1.64 Cr,"7,700 ",2130 ,Under Construction
